timestamp,date,hour,temperature_c,humidity_pct,precip_mm,condition_ko,condition_icon,evaporation_index,app_note
2026-06-15 00:00,2026-06-15,0,20.6,83,0.0,구름 많음,partly-cloudy,0.39,
2026-06-15 01:00,2026-06-15,1,20.2,83,0.0,구름 많음,partly-cloudy,0.36,
2026-06-15 02:00,2026-06-15,2,20.0,84,0.0,구름 많음,partly-cloudy,0.33,
2026-06-15 03:00,2026-06-15,3,20.2,83,0.0,구름 많음,partly-cloudy,0.36,
2026-06-15 04:00,2026-06-15,4,20.6,83,0.0,구름 많음,partly-cloudy,0.39,
2026-06-15 05:00,2026-06-15,5,21.3,82,0.0,구름 많음,partly-cloudy,0.46,
2026-06-15 06:00,2026-06-15,6,22.2,82,0.0,구름 많음,partly-cloudy,0.53,
2026-06-15 07:00,2026-06-15,7,23.3,81,0.0,구름 많음,partly-cloudy,0.63,
2026-06-15 08:00,2026-06-15,8,24.5,80,0.0,구름 많음,partly-cloudy,0.74,
2026-06-15 09:00,2026-06-15,9,25.7,78,0.0,구름 많음,partly-cloudy,0.86,
2026-06-15 10:00,2026-06-15,10,26.8,77,0.0,구름 많음,partly-cloudy,0.96,
2026-06-15 11:00,2026-06-15,11,27.7,77,0.0,구름 많음,partly-cloudy,1.03,
2026-06-15 12:00,2026-06-15,12,28.4,76,0.0,구름 많음,partly-cloudy,1.1,
2026-06-15 13:00,2026-06-15,13,28.8,76,0.0,구름 많음,partly-cloudy,1.13,
2026-06-15 14:00,2026-06-15,14,29.0,76,0.0,구름 많음,partly-cloudy,1.15,
2026-06-15 15:00,2026-06-15,15,28.8,76,0.0,구름 많음,partly-cloudy,1.13,
2026-06-15 16:00,2026-06-15,16,28.4,76,0.0,구름 많음,partly-cloudy,1.1,
2026-06-15 17:00,2026-06-15,17,27.7,77,0.0,구름 많음,partly-cloudy,1.03,
2026-06-15 18:00,2026-06-15,18,26.8,77,0.0,구름 많음,partly-cloudy,0.96,
2026-06-15 19:00,2026-06-15,19,25.7,78,0.0,구름 많음,partly-cloudy,0.86,
2026-06-15 20:00,2026-06-15,20,24.5,80,0.0,구름 많음,partly-cloudy,0.74,
2026-06-15 21:00,2026-06-15,21,23.3,81,0.0,구름 많음,partly-cloudy,0.63,
2026-06-15 22:00,2026-06-15,22,22.2,82,0.0,구름 많음,partly-cloudy,0.53,
2026-06-15 23:00,2026-06-15,23,21.3,82,0.0,구름 많음,partly-cloudy,0.46,
2026-06-16 00:00,2026-06-16,0,21.8,74,0.0,맑음,sun,0.6,
2026-06-16 01:00,2026-06-16,1,21.2,75,0.0,맑음,sun,0.54,
2026-06-16 02:00,2026-06-16,2,21.0,75,0.0,맑음,sun,0.52,
2026-06-16 03:00,2026-06-16,3,21.2,75,0.0,맑음,sun,0.54,
2026-06-16 04:00,2026-06-16,4,21.8,74,0.0,맑음,sun,0.6,
2026-06-16 05:00,2026-06-16,5,22.8,73,0.0,맑음,sun,0.69,
2026-06-16 06:00,2026-06-16,6,24.0,72,0.0,맑음,sun,0.8,
2026-06-16 07:00,2026-06-16,7,25.4,71,0.0,맑음,sun,0.92,
2026-06-16 08:00,2026-06-16,8,27.0,69,0.0,맑음,sun,1.07,
2026-06-16 09:00,2026-06-16,9,28.6,68,0.0,맑음,sun,1.21,
2026-06-16 10:00,2026-06-16,10,30.0,67,0.0,맑음,sun,1.34,
2026-06-16 11:00,2026-06-16,11,31.2,66,0.0,맑음,sun,1.44,
2026-06-16 12:00,2026-06-16,12,32.2,65,0.0,맑음,sun,1.54,
2026-06-16 13:00,2026-06-16,13,32.8,64,0.0,맑음,sun,1.6,
2026-06-16 14:00,2026-06-16,14,33.0,64,0.0,맑음,sun,1.61,
2026-06-16 15:00,2026-06-16,15,32.8,64,0.0,맑음,sun,1.6,
2026-06-16 16:00,2026-06-16,16,32.2,65,0.0,맑음,sun,1.54,
2026-06-16 17:00,2026-06-16,17,31.2,66,0.0,맑음,sun,1.44,
2026-06-16 18:00,2026-06-16,18,30.0,67,0.0,맑음,sun,1.34,
2026-06-16 19:00,2026-06-16,19,28.6,68,0.0,맑음,sun,1.21,
2026-06-16 20:00,2026-06-16,20,27.0,69,0.0,맑음,sun,1.07,
2026-06-16 21:00,2026-06-16,21,25.4,71,0.0,맑음,sun,0.92,
2026-06-16 22:00,2026-06-16,22,24.0,72,0.0,맑음,sun,0.8,
2026-06-16 23:00,2026-06-16,23,22.8,73,0.0,맑음,sun,0.69,
2026-06-17 00:00,2026-06-17,0,22.5,81,0.0,구름 많음,partly-cloudy,0.57,
2026-06-17 01:00,2026-06-17,1,22.1,82,0.0,구름 많음,partly-cloudy,0.52,
2026-06-17 02:00,2026-06-17,2,22.0,82,0.0,구름 많음,partly-cloudy,0.52,
2026-06-17 03:00,2026-06-17,3,22.1,82,0.0,구름 많음,partly-cloudy,0.52,
2026-06-17 04:00,2026-06-17,4,22.5,81,0.0,구름 많음,partly-cloudy,0.57,
2026-06-17 05:00,2026-06-17,5,23.0,81,0.0,구름 많음,partly-cloudy,0.61,
2026-06-17 06:00,2026-06-17,6,23.8,80,0.0,구름 많음,partly-cloudy,0.68,
2026-06-17 07:00,2026-06-17,7,24.6,79,0.0,구름 많음,partly-cloudy,0.76,
2026-06-17 08:00,2026-06-17,8,25.5,79,0.0,구름 많음,partly-cloudy,0.83,
